mean_Ax,std_Ax,median_Ax,cov_Ax,twf_perc_Ax,svf_perc_Ax,maxi_Ax,mini_Ax,skewness_Ax,kurt_Ax,mean_AY,std_AY,median_AY,cov_AY,twf_perc_AY,svf_perc_AY,maxi_AY,mini_AY,skewness_AY,kurt_AY,mean_Az,std_Az,median_Az,cov_Az,twf_perc_Az,svf_perc_Az,maxi_Az,mini_Az,skewness_Az,kurt_Az
0.47677445,6.005678,-1.0295434,2.4506485216937746,-4.045148253440857,6.645343780517578,12.852533,-11.545253,[0.25764266 0.2870324  0.27338323],[-1.149352  -1.1123285 -1.1259018],0.47677445,6.005678,-1.0295434,2.4506485216937746,-4.045148253440857,6.645343780517578,12.852533,-11.545253,[0.25764266 0.2870324  0.27338323],[-1.149352  -1.1123285 -1.1259018],0.47677445,6.005678,-1.0295434,2.4506485216937746,-4.045148253440857,6.645343780517578,12.852533,-11.545253,[0.25764266 0.2870324  0.27338323],[-1.149352  -1.1123285 -1.1259018]
0.45843425,6.248875,-0.4070288,2.4997750181053893,-4.361194014549255,6.2359209060668945,23.205431,-16.922821,[0.19825774 0.06563065 0.03078418],[-0.2445023  -0.77364755 -0.77330756],0.8207538,6.358659,1.4317837,2.5216381165005375,-4.5371739864349365,5.797766089439392,23.205431,-16.922821,[-0.32230535 -0.33145064 -0.18009123],[-0.6119456  -0.5685029  -0.09721303],0.90139335,6.2004585,1.5107951,2.4900719922547077,-4.51323127746582,6.189232230186462,13.412796,-14.849369,[-0.1833836  -0.19659708 -0.18449175],[-0.8936219  -0.9024298  -0.89619637]
0.8207538,6.358659,1.4317837,2.5216381165005375,-4.5371739864349365,5.797766089439392,23.205431,-16.922821,[-0.32230535 -0.33145064 -0.18009123],[-0.6119456  -0.5685029  -0.09721303],0.2863008,6.028205,-2.1309156,2.455240297385923,-4.393516659736633,7.0032899379730225,13.412796,-11.741584,[0.31701475 0.36127988 0.34351343],[-1.2811803 -1.2236873 -1.2337327],0.31406656,5.8236003,-2.2314756,2.4132136855665745,-4.291759729385376,7.591087222099304,11.085549,-8.221982,[0.53747207 0.5487392  0.5387711 ],[-1.3967459 -1.3885951 -1.4064906]
0.90139335,6.2004585,1.5107951,2.4900719922547077,-4.51323127746582,6.189232230186462,13.412796,-14.849369,[-0.1833836  -0.19659708 -0.18449175],[-0.8936219  -0.9024298  -0.89619637],0.31406656,5.8236003,-2.2314756,2.4132136855665745,-4.291759729385376,7.591087222099304,11.085549,-8.221982,[0.53747207 0.5487392  0.5387711 ],[-1.3967459 -1.3885951 -1.4064906],0.24836735,5.8206954,-2.1452813,2.4126117383943146,-4.4354168176651,7.686858892440796,10.654577,-10.032063,[0.5100854  0.52869743 0.51528215],[-1.4100642 -1.3700267 -1.408424 ]
0.2863008,6.028205,-2.1309156,2.455240297385923,-4.393516659736633,7.0032899379730225,13.412796,-11.741584,[0.31701475 0.36127988 0.34351343],[-1.2811803 -1.2236873 -1.2337327],0.25312403,5.812009,-2.1644356,2.4108108299339976,-4.716745376586914,7.761081576347351,11.348921,-7.2020154,[0.5420099  0.55986184 0.54642695],[-1.4452143 -1.4134316 -1.4320294],0.45035747,5.9105725,-1.7406467,2.4311669068246036,-4.535976767539978,7.567144274711609,10.673732,-10.103891,[0.3771704  0.40057105 0.3806048 ],[-1.3678889 -1.3467418 -1.3661075]
0.14801478,5.8524566,-2.3152757,2.4191851044663015,-4.294154047966003,7.443838715553284,10.4486685,-8.221982,[0.5242983  0.5446665  0.52285427],[-1.4000902 -1.3722183 -1.4035394],0.27116093,5.8195553,-2.1955614,2.4123754439541067,-4.274999618530273,7.686858892440796,10.405572,-10.032063,[0.5061835  0.5324383  0.50770855],[-1.403969  -1.3826666 -1.4081945],0.14035308,6.5618706,1.9202182,2.5616148373538072,-5.649320483207703,5.017228484153748,35.79938,-22.362642,[-0.6077911  -0.6417911   0.15296987],[-0.36390352 -0.40317655  2.5154314 ]
0.31406656,5.8236003,-2.2314756,2.4132136855665745,-4.291759729385376,7.591087222099304,11.085549,-8.221982,[0.53747207 0.5487392  0.5387711 ],[-1.3967459 -1.3885951 -1.4064906],0.45035747,5.9105725,-1.7406467,2.4311669068246036,-4.535976767539978,7.567144274711609,10.673732,-10.103891,[0.3771704  0.40057105 0.3806048 ],[-1.3678889 -1.3467418 -1.3661075],0.54168355,6.5197625,2.2865443,2.5533825635853566,-4.863994121551514,5.215954542160034,26.476027,-22.113636,[-0.45698896 -0.138707   -0.48303252],[-0.45125723  0.38671923 -0.3074484 ]
0.34962982,5.830991,-2.276967,2.414744456732596,-4.458162784576416,7.777841567993164,11.348921,-7.8676276,[0.5599834 0.5873964 0.5664545],[-1.4295257 -1.3978435 -1.4130411],0.38938284,6.175616,1.9202182,2.485078628032945,-5.329683303833008,5.365597367286682,10.0560055,-16.28594,[-0.4395582  -0.45473143 -0.49184448],[-1.0158578 -0.9470422 -0.9405246],0.6038792,6.4567432,1.4054465,2.5410122471874166,-4.480908513069153,4.956174373626709,24.675524,-14.102351,[ 0.02057259 -0.19892159 -0.22817701],[-0.06974697 -0.6286721  -0.67955446]
0.25312403,5.812009,-2.1644356,2.4108108299339976,-4.716745376586914,7.761081576347351,11.348921,-7.2020154,[0.5420099  0.55986184 0.54642695],[-1.4452143 -1.4134316 -1.4320294],0.5817081,6.687568,2.7031503,2.5860332920737163,-4.5563284158706665,5.464960336685181,35.79938,-22.362642,[-0.7468923  -0.00755105 -0.7241734 ],[-0.30786872  2.2068024  -0.27885008],0.018818969,6.097697,-2.35119,2.4693514899986284,-4.224719762802124,6.743509650230408,13.843768,-11.363287,[0.4894097  0.49489427 0.4691523 ],[-1.1140684 -1.0881618 -1.1393558]
0.24836735,5.8206954,-2.1452813,2.4126117383943146,-4.4354168176651,7.686858892440796,10.654577,-10.032063,[0.5100854  0.52869743 0.51528215],[-1.4100642 -1.3700267 -1.408424 ],0.54168355,6.5197625,2.2865443,2.5533825635853566,-4.863994121551514,5.215954542160034,26.476027,-22.113636,[-0.45698896 -0.138707   -0.48303252],[-0.45125723  0.38671923 -0.3074484 ],0.16840626,5.7837033,-3.1580648,2.4049331232237945,-4.115779519081116,7.911921739578247,10.271492,-6.6273866,[0.66097736 0.6814728  0.660704  ],[-1.4649075 -1.4345592 -1.4624727]
