iter	MultiClass
0	0.4636002991
1	0.3196781786
2	0.2393846367
3	0.1771355695
4	0.1478251145
5	0.1325582476
6	0.1182841926
7	0.1062412953
8	0.09744389504
9	0.09141105541
10	0.08664076687
11	0.08341373779
12	0.07931481705
13	0.07636480315
14	0.07394491023
15	0.07207761792
16	0.06969675423
17	0.06730418571
18	0.06541820569
19	0.06397052579
20	0.06252232693
21	0.06109354693
22	0.05862781771
23	0.05763668095
24	0.05679674623
25	0.05549771687
26	0.0548450613
27	0.05408443904
28	0.05279224547
29	0.05174093839
30	0.0510611056
31	0.05023506817
32	0.0497543291
33	0.04917723175
34	0.04850789919
35	0.04761660413
36	0.04697950289
37	0.04524375255
38	0.04487005634
39	0.04442534141
40	0.04363419234
41	0.04282756098
42	0.04235649951
43	0.04152487394
44	0.04048993511
45	0.0401134859
46	0.03984567318
47	0.03931467254
48	0.03855885485
49	0.03831176949
50	0.03678831498
51	0.03634657851
52	0.03586741089
53	0.03563901764
54	0.03546064554
55	0.03528890395
56	0.03498538446
57	0.03475178349
58	0.03448538686
59	0.03369734454
60	0.0333951144
61	0.03255993975
62	0.03226296576
63	0.03198816239
64	0.03143424673
65	0.03110965257
66	0.0307262056
67	0.03032434565
68	0.03018786763
69	0.02998226974
70	0.02973105985
71	0.02957543434
72	0.0290302438
73	0.02882230671
74	0.02863629797
75	0.0282989084
76	0.02812904992
77	0.02795950741
78	0.02769481907
79	0.02709980701
80	0.02693227395
81	0.02667784621
82	0.02637810047
83	0.02601333774
84	0.02588466483
85	0.02540570749
86	0.02527016478
87	0.02510165938
88	0.02484156636
89	0.024697446
90	0.02412569231
91	0.02406128088
92	0.02385932543
93	0.02361920077
94	0.02344964406
95	0.02329527605
96	0.02288737008
97	0.02268544005
98	0.02258408747
99	0.02226622373
